'EXPERIMENT 5/25, data=('3476', 1, 30, 0.0001, 32), file=conj_5' 
'EXPERIMENT 6/25, data=('3476', 2, 30, 0.01, 32), file=conj_5' 
'EXPERIMENT 7/25, data=('3476', 2, 30, 0.001, 32), file=conj_5' 
'EXPERIMENT 8/25, data=('3476', 2, 30, 0.0001, 32), file=conj_5' 
'EXPERIMENT 9/25, data=('3476', 3, 30, 0.01, 32), file=conj_5' 
'EXPERIMENT 10/25, data=('3476', 3, 30, 0.001, 32), file=conj_5' 
'EXPERIMENT 11/25, data=('3476', 3, 30, 0.0001, 32), file=conj_5' 
'EXPERIMENT 12/25, data=('3476', 4, 30, 0.01, 32), file=conj_5' 
'EXPERIMENT 13/25, data=('3476', 4, 30, 0.001, 32), file=conj_5' 
'EXPERIMENT 14/25, data=('3476', 4, 30, 0.0001, 32), file=conj_5' 
'EXPERIMENT 15/25, data=('3476', 5, 30, 0.01, 32), file=conj_5' 
'EXPERIMENT 16/25, data=('3476', 5, 30, 0.001, 32), file=conj_5' 
'EXPERIMENT 17/25, data=('3476', 5, 30, 0.0001, 32), file=conj_5' 
'EXPERIMENT 18/25, data=('3476', 6, 30, 0.01, 32), file=conj_5' 
'EXPERIMENT 19/25, data=('3476', 6, 30, 0.001, 32), file=conj_5' 
'EXPERIMENT 20/25, data=('3476', 6, 30, 0.0001, 32), file=conj_5' 
'EXPERIMENT 21/25, data=('3476', 7, 30, 0.01, 32), file=conj_5' 
'EXPERIMENT 22/25, data=('3476', 7, 30, 0.001, 32), file=conj_5' 
'EXPERIMENT 23/25, data=('3476', 7, 30, 0.0001, 32), file=conj_5' 
'EXPERIMENT 24/25, data=('3476', 8, 30, 0.01, 32), file=conj_5' 
'EXPERIMENT 25/25, data=('3476', 8, 30, 0.001, 32), file=conj_5' 
'EXPERIMENT 26/25, data=('3476', 8, 30, 0.0001, 32), file=conj_5' 
'EXPERIMENT 27/25, data=('3476', 9, 30, 0.01, 32), file=conj_5' 
'EXPERIMENT 28/25, data=('3476', 9, 30, 0.001, 32), file=conj_5' 
'EXPERIMENT 29/25, data=('3476', 9, 30, 0.0001, 32), file=conj_5' 
'EXPERIMENT 5/25, data=('3358', 1, 29, 0.0001, 32), file=conj_6' 
'EXPERIMENT 0/1644062456.280084, data=('3358', 0, 29, 0.01, 32), file=conj_6' 
'EXPERIMENT 0/1644062472.875442, data=('3358', 0, 32, 0.01, 32), file=conj_6' 
'EXPERIMENT 1/1644062472.875442, data=('3358', 0, 32, 0.001, 32), file=conj_6' 
'EXPERIMENT 2/1644062472.875442, data=('3358', 0, 32, 0.0001, 32), file=conj_6' 
'EXPERIMENT 3/1644062472.875442, data=('3358', 1, 32, 0.01, 32), file=conj_6' 
'EXPERIMENT 4/1644062472.875442, data=('3358', 1, 32, 0.001, 32), file=conj_6' 
'EXPERIMENT 5/1644062472.875442, data=('3358', 1, 32, 0.0001, 32), file=conj_6' 
